repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
ytdl-org/youtube-dl,138313,64.0,33189,"[YouTube, misc] Back-ports from yt-dlp for broken YT player `2b83d2e0` and later",https://github.com/ytdl-org/youtube-dl/pull/33189,33189,https://github.com/ytdl-org/youtube-dl/pull/33189,2025-09-29T01:15:05Z,213,66,5,2025-09-29T01:15:05Z
yt-dlp/yt-dlp,130144,56.11,14305,[cleanup] Remove broken extractors,https://github.com/yt-dlp/yt-dlp/pull/14305,14305,https://github.com/yt-dlp/yt-dlp/pull/14305,2025-09-12T08:15:41Z,47,993,9,2025-09-12T08:15:41Z
localstack/localstack,60778,56.96,13191,CFn: fix CDK redeploy,https://github.com/localstack/localstack/pull/13191,13191,https://github.com/localstack/localstack/pull/13191,2025-09-30T14:13:40Z,271,5,5,2025-09-30T14:13:40Z
pallets/flask,70530,11.04,5812,merge app and request context,https://github.com/pallets/flask/pull/5812,5812,https://github.com/pallets/flask/pull/5812,2025-09-19T23:45:27Z,779,1007,36,2025-09-19T23:45:27Z
browser-use/browser-use,71039,24.31,3132,remove sensitive data from agent history and logging,https://github.com/browser-use/browser-use/pull/3132,3132,https://github.com/browser-use/browser-use/pull/3132,2025-09-16T22:06:09Z,221,51,9,2025-09-16T22:06:09Z
vllm-project/vllm,59764,97.81,25807,Remove LoRA bias support,https://github.com/vllm-project/vllm/pull/25807,25807,https://github.com/vllm-project/vllm/pull/25807,2025-10-10T09:50:34Z,35,366,20,2025-10-10T09:50:34Z
vllm-project/vllm,59764,97.81,26358,Refactor MistralTokenizer,https://github.com/vllm-project/vllm/pull/26358,26358,https://github.com/vllm-project/vllm/pull/26358,2025-10-09T22:48:59Z,2349,461,18,2025-10-09T22:48:59Z
vllm-project/vllm,59764,97.81,25103,Separate MLAAttention class from Attention,https://github.com/vllm-project/vllm/pull/25103,25103,https://github.com/vllm-project/vllm/pull/25103,2025-10-09T00:11:11Z,502,163,10,2025-10-09T00:11:11Z
vllm-project/vllm,59764,97.81,26247,Convert formatting to use `ruff` instead of `yapf` + `isort`,https://github.com/vllm-project/vllm/pull/26247,26247,https://github.com/vllm-project/vllm/pull/26247,2025-10-05T14:06:22Z,115576,94478,1508,2025-10-05T14:06:22Z
vllm-project/vllm,59764,97.81,25631,[Multi Modal] Configurable MM Profiling,https://github.com/vllm-project/vllm/pull/25631,25631,https://github.com/vllm-project/vllm/pull/25631,2025-10-03T10:59:10Z,654,99,60,2025-10-03T10:59:10Z
