repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
docling-project/docling,41117,146.9,2433,fix: deal with chartsheets in workbooks,https://github.com/docling-project/docling/pull/2433,2433,https://github.com/docling-project/docling/pull/2433,2025-10-10T13:06:38Z,718,11,14,2025-10-10T13:06:38Z
docling-project/docling,41117,146.9,2394,fix: Proper heading support in rich tables for HTML backend,https://github.com/docling-project/docling/pull/2394,2394,https://github.com/docling-project/docling/pull/2394,2025-10-07T13:57:33Z,267,15,5,2025-10-07T13:57:33Z
docling-project/docling,41117,146.9,1815,fix: add table raw content when no table structure model is used,https://github.com/docling-project/docling/pull/1815,1815,https://github.com/docling-project/docling/pull/1815,2025-10-02T11:46:42Z,6835,3389,34,2025-10-02T11:46:42Z
docling-project/docling,41117,146.9,2304,fix: support escaped characters in markdown backend,https://github.com/docling-project/docling/pull/2304,2304,https://github.com/docling-project/docling/pull/2304,2025-09-23T16:00:16Z,772,3,7,2025-09-23T16:00:16Z
docling-project/docling,41117,146.9,2131,fix(html): preserve code blocks in list items,https://github.com/docling-project/docling/pull/2131,2131,https://github.com/docling-project/docling/pull/2131,2025-08-26T04:43:48Z,950,76,5,2025-08-26T04:43:48Z
docling-project/docling,41117,146.9,2111,feat(html): Support formatting tags in HTML texts,https://github.com/docling-project/docling/pull/2111,2111,https://github.com/docling-project/docling/pull/2111,2025-08-22T08:37:34Z,10550,5586,15,2025-08-22T08:37:34Z
docling-project/docling,41117,146.9,2106,fix(HTML): parse footer tag as a group in furniture content layer,https://github.com/docling-project/docling/pull/2106,2106,https://github.com/docling-project/docling/pull/2106,2025-08-20T06:42:25Z,131,131,5,2025-08-20T06:42:25Z
docling-project/docling,41117,146.9,1995,fix(markdown): ensure correct parsing of nested lists,https://github.com/docling-project/docling/pull/1995,1995,https://github.com/docling-project/docling/pull/1995,2025-07-25T13:17:57Z,778,563,6,2025-07-25T13:17:57Z
docling-project/docling,41117,146.9,1981,fix(HTML): concatenation of child strings in table cells and list items,https://github.com/docling-project/docling/pull/1981,1981,https://github.com/docling-project/docling/pull/1981,2025-07-24T09:19:25Z,162,134,5,2025-07-24T09:19:25Z
docling-project/docling,41117,146.9,1820,fix(markdown): fix single-formatted headings & list items,https://github.com/docling-project/docling/pull/1820,1820,https://github.com/docling-project/docling/pull/1820,2025-06-25T11:05:07Z,2486,2189,67,2025-06-25T11:05:07Z
docling-project/docling,41117,146.9,1610,fix(msword_backend): Identify text in the same line after an image #1425,https://github.com/docling-project/docling/pull/1610,1610,https://github.com/docling-project/docling/pull/1610,2025-06-20T08:55:30Z,362,1,6,2025-06-20T08:55:30Z
docling-project/docling,41117,146.9,1804,feat(markdown): add formatting & improve inline support,https://github.com/docling-project/docling/pull/1804,1804,https://github.com/docling-project/docling/pull/1804,2025-06-18T13:57:57Z,722,88,5,2025-06-18T13:57:57Z
docling-project/docling,41117,146.9,1745,"feat: Make Page.parsed_page the only source of truth for text cells, add OCR cells to it",https://github.com/docling-project/docling/pull/1745,1745,https://github.com/docling-project/docling/pull/1745,2025-06-13T17:01:55Z,326502,317458,50,2025-06-13T17:01:55Z
docling-project/docling,41117,146.9,75,feat: add docling cli,https://github.com/docling-project/docling/pull/75,75,https://github.com/docling-project/docling/pull/75,2024-09-13T12:03:09Z,311,1,5,2024-09-13T12:03:09Z
