repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
jlowin/fastmcp,18896,16.76,1927,Add Scalekit Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/pull/1927,1927,https://github.com/jlowin/fastmcp/pull/1927,2025-09-26T20:58:04Z,674,0,7,2025-09-26T20:58:04Z
jlowin/fastmcp,18896,16.76,1791,Use lowercase namespace for fastmcp logger,https://github.com/jlowin/fastmcp/pull/1791,1791,https://github.com/jlowin/fastmcp/pull/1791,2025-09-26T16:13:03Z,406,106,7,2025-09-26T16:13:03Z
jlowin/fastmcp,18896,16.76,1873,Add AWS Cognito OAuth Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/pull/1873,1873,https://github.com/jlowin/fastmcp/pull/1873,2025-09-25T15:08:45Z,962,7,13,2025-09-25T15:08:45Z
jlowin/fastmcp,18896,16.76,1872,Fix: Remove JSON schema title metadata while preserving parameters named 'title',https://github.com/jlowin/fastmcp/pull/1872,1872,https://github.com/jlowin/fastmcp/pull/1872,2025-09-23T14:19:34Z,153,83,6,2025-09-23T14:19:34Z
jlowin/fastmcp,18896,16.76,1879,Add persistent storage for OAuth client registrations,https://github.com/jlowin/fastmcp/pull/1879,1879,https://github.com/jlowin/fastmcp/pull/1879,2025-09-21T14:56:08Z,704,52,14,2025-09-21T14:56:08Z
jlowin/fastmcp,18896,16.76,1853,feat: Add support for Descope Authentication,https://github.com/jlowin/fastmcp/pull/1853,1853,https://github.com/jlowin/fastmcp/pull/1853,2025-09-19T17:46:44Z,504,6,7,2025-09-19T17:46:44Z
jlowin/fastmcp,18896,16.76,1840,Add log level support for stdio and HTTP transports,https://github.com/jlowin/fastmcp/pull/1840,1840,https://github.com/jlowin/fastmcp/pull/1840,2025-09-19T17:46:31Z,246,53,7,2025-09-19T17:46:31Z
jlowin/fastmcp,18896,16.76,1704,Preserve order in mixed text/image tool returns,https://github.com/jlowin/fastmcp/pull/1704,1704,https://github.com/jlowin/fastmcp/pull/1704,2025-09-06T18:22:29Z,183,74,5,2025-09-06T18:22:29Z
jlowin/fastmcp,18896,16.76,1769,Clean up uvenvironment and ensure `uv run --with fastmcp` is used by install commands,https://github.com/jlowin/fastmcp/pull/1769,1769,https://github.com/jlowin/fastmcp/pull/1769,2025-09-06T18:21:56Z,47,155,16,2025-09-06T18:21:56Z
jlowin/fastmcp,18896,16.76,1706,Fix OAuth resource URL handling and WWW-Authenticate header,https://github.com/jlowin/fastmcp/pull/1706,1706,https://github.com/jlowin/fastmcp/pull/1706,2025-09-02T19:14:06Z,518,354,26,2025-09-02T19:14:06Z
jlowin/fastmcp,18896,16.76,1701,Make openai depedency optional,https://github.com/jlowin/fastmcp/pull/1701,1701,https://github.com/jlowin/fastmcp/pull/1701,2025-09-02T19:13:37Z,42,228,5,2025-09-02T19:13:37Z
jlowin/fastmcp,18896,16.76,1710,refactor: replace auth provider registry with ImportString,https://github.com/jlowin/fastmcp/pull/1710,1710,https://github.com/jlowin/fastmcp/pull/1710,2025-09-02T12:31:53Z,276,326,29,2025-09-02T12:31:53Z
jlowin/fastmcp,18896,16.76,1517,feat: introduce declarative JSON configuration system,https://github.com/jlowin/fastmcp/pull/1517,1517,https://github.com/jlowin/fastmcp/pull/1517,2025-08-19T20:06:04Z,3917,108,40,2025-08-19T20:06:04Z
jlowin/fastmcp,18896,16.76,1607,Implement typed source system for FastMCP declarative configuration,https://github.com/jlowin/fastmcp/pull/1607,1607,https://github.com/jlowin/fastmcp/pull/1607,2025-08-24T20:32:37Z,1656,1602,36,2025-08-24T20:32:37Z
