repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
dottxt-ai/outlines,12678,47.43,1761,Add json type conversion,https://github.com/dottxt-ai/outlines/pull/1761,1761,https://github.com/dottxt-ai/outlines/pull/1761,2025-10-07T11:36:29Z,730,506,12,2025-10-07T11:36:29Z
dottxt-ai/outlines,12678,47.43,1740,Reduce the number of mandatory dependencies + update uv.lock,https://github.com/dottxt-ai/outlines/pull/1740,1740,https://github.com/dottxt-ai/outlines/pull/1740,2025-09-01T13:42:05Z,3738,2719,5,2025-09-01T13:42:05Z
dottxt-ai/outlines,12678,47.43,1731,fix typings by resolving exports,https://github.com/dottxt-ai/outlines/pull/1731,1731,https://github.com/dottxt-ai/outlines/pull/1731,2025-08-23T22:50:11Z,151,77,8,2025-08-23T22:50:11Z
dottxt-ai/outlines,12678,47.43,1726,Jax/tensorflow deprecation,https://github.com/dottxt-ai/outlines/pull/1726,1726,https://github.com/dottxt-ai/outlines/pull/1726,2025-08-18T07:27:54Z,352,269,17,2025-08-18T07:27:54Z
dottxt-ai/outlines,12678,47.43,1721,Create AsyncOpenAI model,https://github.com/dottxt-ai/outlines/pull/1721,1721,https://github.com/dottxt-ai/outlines/pull/1721,2025-08-11T21:20:33Z,423,25,5,2025-08-11T21:20:33Z
dottxt-ai/outlines,12678,47.43,1700,Upgrade outlines-core to 0.2.11 and remove experimental CFG code,https://github.com/dottxt-ai/outlines/pull/1700,1700,https://github.com/dottxt-ai/outlines/pull/1700,2025-07-31T12:12:39Z,301,4603,49,2025-07-31T12:12:39Z
dottxt-ai/outlines,12678,47.43,1689,Support different backends on top of outlines_core,https://github.com/dottxt-ai/outlines/pull/1689,1689,https://github.com/dottxt-ai/outlines/pull/1689,2025-07-25T12:17:01Z,1661,53,20,2025-07-25T12:17:01Z
dottxt-ai/outlines,12678,47.43,1682,Remove deprecated features from v0,https://github.com/dottxt-ai/outlines/pull/1682,1682,https://github.com/dottxt-ai/outlines/pull/1682,2025-07-10T18:19:43Z,117,6080,53,2025-07-10T18:19:43Z
dottxt-ai/outlines,12678,47.43,1680,Create Chat input and add it to the models,https://github.com/dottxt-ai/outlines/pull/1680,1680,https://github.com/dottxt-ai/outlines/pull/1680,2025-07-10T08:23:08Z,2441,553,44,2025-07-10T08:23:08Z
dottxt-ai/outlines,12678,47.43,1677,Create the inputs module and modify the treatment of multimodal inputs,https://github.com/dottxt-ai/outlines/pull/1677,1677,https://github.com/dottxt-ai/outlines/pull/1677,2025-07-05T13:14:15Z,586,339,34,2025-07-05T13:14:15Z
dottxt-ai/outlines,12678,47.43,1674,Add a batch method to models,https://github.com/dottxt-ai/outlines/pull/1674,1674,https://github.com/dottxt-ai/outlines/pull/1674,2025-07-03T10:06:34Z,792,131,35,2025-07-03T10:06:34Z
dottxt-ai/outlines,12678,47.43,1669,Add  the AsyncOllama model,https://github.com/dottxt-ai/outlines/pull/1669,1669,https://github.com/dottxt-ai/outlines/pull/1669,2025-07-01T09:19:39Z,321,28,5,2025-07-01T09:19:39Z
dottxt-ai/outlines,12678,47.43,1616,Create optional dependencies for all models,https://github.com/dottxt-ai/outlines/pull/1616,1616,https://github.com/dottxt-ai/outlines/pull/1616,2025-06-17T13:53:02Z,171,171,20,2025-06-17T13:53:02Z
dottxt-ai/outlines,12678,47.43,1598,Improve docstrings and type hinting in model base and generator,https://github.com/dottxt-ai/outlines/pull/1598,1598,https://github.com/dottxt-ai/outlines/pull/1598,2025-05-27T09:21:07Z,459,106,6,2025-05-27T09:21:07Z
dottxt-ai/outlines,12678,47.43,1599,Improve docstrings and type hinting in model implementations,https://github.com/dottxt-ai/outlines/pull/1599,1599,https://github.com/dottxt-ai/outlines/pull/1599,2025-05-27T09:20:59Z,1312,346,12,2025-05-27T09:20:59Z
dottxt-ai/outlines,12678,47.43,1596,Improve type hints and docstrings for the processors module,https://github.com/dottxt-ai/outlines/pull/1596,1596,https://github.com/dottxt-ai/outlines/pull/1596,2025-05-26T16:59:08Z,546,138,12,2025-05-26T16:59:08Z
dottxt-ai/outlines,12678,47.43,1560,Create the SgLang model,https://github.com/dottxt-ai/outlines/pull/1560,1560,https://github.com/dottxt-ai/outlines/pull/1560,2025-04-30T16:38:15Z,717,2,7,2025-04-30T16:38:15Z
dottxt-ai/outlines,12678,47.43,1561,Create the TGI model,https://github.com/dottxt-ai/outlines/pull/1561,1561,https://github.com/dottxt-ai/outlines/pull/1561,2025-04-30T11:52:42Z,673,17,9,2025-04-30T11:52:42Z
dottxt-ai/outlines,12678,47.43,1549,Rename VLLM to VLLMOffline and create server-based VLLM/AsyncVLLM,https://github.com/dottxt-ai/outlines/pull/1549,1549,https://github.com/dottxt-ai/outlines/pull/1549,2025-04-27T09:44:36Z,1392,377,22,2025-04-27T09:44:36Z
dottxt-ai/outlines,12678,47.43,1518,Add backward compatibility with v0,https://github.com/dottxt-ai/outlines/pull/1518,1518,https://github.com/dottxt-ai/outlines/pull/1518,2025-04-10T17:25:36Z,6363,223,67,2025-04-10T17:25:36Z
