repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
SpikeInterface/spikeinterface,662,83.85,1968,Refactor sorter launcher. Deprecated `run_sorters()` and add `run_sorter_jobs()`,https://github.com/SpikeInterface/spikeinterface/pull/1968,1968,https://github.com/SpikeInterface/spikeinterface/pull/1968,2023-09-19T16:41:37Z,445,435,7,2023-09-19T16:41:37Z
SpikeInterface/spikeinterface,662,83.85,4035,Add multi-segment capability to BaseRasterWidget and children,https://github.com/SpikeInterface/spikeinterface/pull/4035,4035,https://github.com/SpikeInterface/spikeinterface/pull/4035,2025-07-14T10:00:10Z,459,99,5,2025-07-14T10:00:10Z
SpikeInterface/spikeinterface,662,83.85,3857,Export_to_ibl (take 2),https://github.com/SpikeInterface/spikeinterface/pull/3857,3857,https://github.com/SpikeInterface/spikeinterface/pull/3857,2025-04-23T18:33:15Z,468,5,7,2025-04-23T18:33:15Z
SpikeInterface/spikeinterface,662,83.85,3369,"Extend estimate_sparsity, add from_amplitude and deprecate from_ptp",https://github.com/SpikeInterface/spikeinterface/pull/3369,3369,https://github.com/SpikeInterface/spikeinterface/pull/3369,2024-09-15T16:14:40Z,411,134,6,2024-09-15T16:14:40Z
SpikeInterface/spikeinterface,662,83.85,3163,Prepare 0.101.0 release,https://github.com/SpikeInterface/spikeinterface/pull/3163,3163,https://github.com/SpikeInterface/spikeinterface/pull/3163,2024-07-15T18:55:06Z,525,28,15,2024-07-15T18:55:06Z
SpikeInterface/spikeinterface,662,83.85,3195,Propagate option for using neo channel names as ids in all neo extractors without changing the deafult behavior,https://github.com/SpikeInterface/spikeinterface/pull/3195,3195,https://github.com/SpikeInterface/spikeinterface/pull/3195,2024-07-15T12:46:59Z,226,33,19,2024-07-15T12:46:59Z
SpikeInterface/spikeinterface,662,83.85,2529,Kilosort4 Wrapper,https://github.com/SpikeInterface/spikeinterface/pull/2529,2529,https://github.com/SpikeInterface/spikeinterface/pull/2529,2024-03-05T08:52:01Z,459,1,6,2024-03-05T08:52:01Z
SpikeInterface/spikeinterface,662,83.85,2254,Implement save_to_zarr for BaseSorting,https://github.com/SpikeInterface/spikeinterface/pull/2254,2254,https://github.com/SpikeInterface/spikeinterface/pull/2254,2023-12-20T10:46:40Z,645,462,15,2023-12-20T10:46:40Z
SpikeInterface/spikeinterface,662,83.85,1999,Creation of a `TransformSorting` object to track modifications and bencharmk,https://github.com/SpikeInterface/spikeinterface/pull/1999,1999,https://github.com/SpikeInterface/spikeinterface/pull/1999,2023-12-20T15:47:39Z,418,65,5,2023-12-20T15:47:39Z
SpikeInterface/spikeinterface,662,83.85,1983,Refactoring of GroundTruthStudy,https://github.com/SpikeInterface/spikeinterface/pull/1983,1983,https://github.com/SpikeInterface/spikeinterface/pull/1983,2023-09-27T15:58:09Z,890,1539,19,2023-09-27T15:58:09Z
SpikeInterface/spikeinterface,662,83.85,1783,Handle empty units in quality metrics,https://github.com/SpikeInterface/spikeinterface/pull/1783,1783,https://github.com/SpikeInterface/spikeinterface/pull/1783,2023-07-06T15:43:36Z,154,48,7,2023-07-06T15:43:36Z
SpikeInterface/spikeinterface,662,83.85,1176,[feat-core] Add global_job_kwargs functions,https://github.com/SpikeInterface/spikeinterface/pull/1176,1176,https://github.com/SpikeInterface/spikeinterface/pull/1176,2023-01-11T13:50:24Z,253,62,30,2023-01-11T13:50:24Z
SpikeInterface/spikeinterface,662,83.85,1258,Extend WaveformExtractor `rec_attributes` and propagate recordingless mode,https://github.com/SpikeInterface/spikeinterface/pull/1258,1258,https://github.com/SpikeInterface/spikeinterface/pull/1258,2023-02-03T20:56:51Z,183,140,16,2023-02-03T20:56:51Z
SpikeInterface/spikeinterface,662,83.85,1397,Add specialized JsonEncoder for writing to json,https://github.com/SpikeInterface/spikeinterface/pull/1397,1397,https://github.com/SpikeInterface/spikeinterface/pull/1397,2023-03-22T08:42:22Z,251,110,11,2023-03-22T08:42:22Z
SpikeInterface/spikeinterface,662,83.85,1142,[bug-qm] Refactor amplitude_cutoff and presence_ratio metrics,https://github.com/SpikeInterface/spikeinterface/pull/1142,1142,https://github.com/SpikeInterface/spikeinterface/pull/1142,2022-12-23T17:08:20Z,233,98,11,2022-12-23T17:08:20Z
SpikeInterface/spikeinterface,662,83.85,1155,[feat-qm] Refactor QM parameter handling,https://github.com/SpikeInterface/spikeinterface/pull/1155,1155,https://github.com/SpikeInterface/spikeinterface/pull/1155,2022-12-22T17:47:50Z,231,145,7,2022-12-22T17:47:50Z
SpikeInterface/spikeinterface,662,83.85,1079,Add waveform extractor `save()` function and Zarr backend,https://github.com/SpikeInterface/spikeinterface/pull/1079,1079,https://github.com/SpikeInterface/spikeinterface/pull/1079,2022-11-29T19:31:07Z,574,171,23,2022-11-29T19:31:07Z
SpikeInterface/spikeinterface,662,83.85,1149,Refactor sorter_output folder to keep sorting metadata,https://github.com/SpikeInterface/spikeinterface/pull/1149,1149,https://github.com/SpikeInterface/spikeinterface/pull/1149,2022-12-14T16:16:56Z,354,316,40,2022-12-14T16:16:56Z
