repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
DataBiosphere/toil,919,35.8,5383,Avoid making slow Slurm queries,https://github.com/DataBiosphere/toil/pull/5383,5383,https://github.com/DataBiosphere/toil/pull/5383,2025-09-09T15:38:54Z,467,167,10,2025-09-09T15:38:54Z
DataBiosphere/toil,919,35.8,5369,Fix AWS spot market integration after boto3 port,https://github.com/DataBiosphere/toil/pull/5369,5369,https://github.com/DataBiosphere/toil/pull/5369,2025-08-14T14:42:14Z,145,75,5,2025-08-14T14:42:14Z
DataBiosphere/toil,919,35.8,5358,WDL `Directory` support,https://github.com/DataBiosphere/toil/pull/5358,5358,https://github.com/DataBiosphere/toil/pull/5358,2025-07-25T20:18:16Z,1428,696,7,2025-07-25T20:18:16Z
DataBiosphere/toil,919,35.8,5323,Make URL Access Pluggable,https://github.com/DataBiosphere/toil/pull/5323,5323,https://github.com/DataBiosphere/toil/pull/5323,2025-06-13T15:54:58Z,292,160,6,2025-06-13T15:54:58Z
DataBiosphere/toil,919,35.8,5285,Removing redundant mount points from listings when loading inputs to a job,https://github.com/DataBiosphere/toil/pull/5285,5285,https://github.com/DataBiosphere/toil/pull/5285,2025-06-13T15:54:47Z,237,5,5,2025-06-13T15:54:47Z
DataBiosphere/toil,919,35.8,5266,Handle coercing file: URIs to files,https://github.com/DataBiosphere/toil/pull/5266,5266,https://github.com/DataBiosphere/toil/pull/5266,2025-04-24T16:03:51Z,199,51,11,2025-04-24T16:03:51Z
DataBiosphere/toil,919,35.8,5211,Make tests more independent,https://github.com/DataBiosphere/toil/pull/5211,5211,https://github.com/DataBiosphere/toil/pull/5211,2025-03-20T07:19:08Z,1811,1439,16,2025-03-20T07:19:08Z
DataBiosphere/toil,919,35.8,5233,Add `--slurmPartition` and `--slurmGPUPartition` and support `--time` in `TOIL_SLURM_ARGS`,https://github.com/DataBiosphere/toil/pull/5233,5233,https://github.com/DataBiosphere/toil/pull/5233,2025-03-13T14:29:56Z,370,87,8,2025-03-13T14:29:56Z
DataBiosphere/toil,919,35.8,5198,Publish metrics to Dockstore,https://github.com/DataBiosphere/toil/pull/5198,5198,https://github.com/DataBiosphere/toil/pull/5198,2025-03-06T17:20:40Z,3245,315,29,2025-03-06T17:20:40Z
DataBiosphere/toil,919,35.8,5219,Add CWL badges,https://github.com/DataBiosphere/toil/pull/5219,5219,https://github.com/DataBiosphere/toil/pull/5219,2025-03-06T17:16:49Z,217,7,8,2025-03-06T17:16:49Z
DataBiosphere/toil,919,35.8,5133,Add filesize sniffing and parallelize importing on jobs,https://github.com/DataBiosphere/toil/pull/5133,5133,https://github.com/DataBiosphere/toil/pull/5133,2024-12-13T18:21:03Z,1079,371,10,2024-12-13T18:21:03Z
DataBiosphere/toil,919,35.8,5102,Add support for running Dockstore page URLs and TRS IDs,https://github.com/DataBiosphere/toil/pull/5102,5102,https://github.com/DataBiosphere/toil/pull/5102,2024-11-13T15:28:59Z,935,271,15,2024-11-13T15:28:59Z
DataBiosphere/toil,919,35.8,5105,Support WDL call caching,https://github.com/DataBiosphere/toil/pull/5105,5105,https://github.com/DataBiosphere/toil/pull/5105,2024-10-28T20:29:54Z,830,153,9,2024-10-28T20:29:54Z
DataBiosphere/toil,919,35.8,5052,Allow CWL workflows to have jobs use all of a Slurm node's memory,https://github.com/DataBiosphere/toil/pull/5052,5052,https://github.com/DataBiosphere/toil/pull/5052,2024-10-14T19:24:09Z,280,91,11,2024-10-14T19:24:09Z
DataBiosphere/toil,919,35.8,5096,Sniffing for and workaround for keeping output of croo workflows,https://github.com/DataBiosphere/toil/pull/5096,5096,https://github.com/DataBiosphere/toil/pull/5096,2024-09-26T16:48:16Z,189,11,6,2024-09-26T16:48:16Z
DataBiosphere/toil,919,35.8,5098,Allow importing on workers,https://github.com/DataBiosphere/toil/pull/5098,5098,https://github.com/DataBiosphere/toil/pull/5098,2024-09-26T16:30:20Z,212,69,5,2024-09-26T16:30:20Z
DataBiosphere/toil,919,35.8,4976,Add toil debug-job tutorial,https://github.com/DataBiosphere/toil/pull/4976,4976,https://github.com/DataBiosphere/toil/pull/4976,2024-06-24T19:24:25Z,651,68,8,2024-06-24T19:24:25Z
DataBiosphere/toil,919,35.8,4951,Grab GPU partition information from Slurm + Support for `gpu` field in WDL,https://github.com/DataBiosphere/toil/pull/4951,4951,https://github.com/DataBiosphere/toil/pull/4951,2024-06-10T15:41:26Z,169,36,5,2024-06-10T15:41:26Z
DataBiosphere/toil,919,35.8,4868,Replace all usage of boto2 with boto3,https://github.com/DataBiosphere/toil/pull/4868,4868,https://github.com/DataBiosphere/toil/pull/4868,2024-04-29T21:21:32Z,428,550,17,2024-04-29T21:21:32Z
DataBiosphere/toil,919,35.8,4824,Enable FUSE for privileged Toil clusters,https://github.com/DataBiosphere/toil/pull/4824,4824,https://github.com/DataBiosphere/toil/pull/4824,2024-04-26T01:05:46Z,140,67,19,2024-04-26T01:05:46Z
DataBiosphere/toil,919,35.8,4811,"Make leader wait for expected updates to be visible in the job store, or fail the job",https://github.com/DataBiosphere/toil/pull/4811,4811,https://github.com/DataBiosphere/toil/pull/4811,2024-04-25T15:03:28Z,453,247,28,2024-04-25T15:03:28Z
DataBiosphere/toil,919,35.8,4848,Allow fetching job inputs for debugging,https://github.com/DataBiosphere/toil/pull/4848,4848,https://github.com/DataBiosphere/toil/pull/4848,2024-04-23T16:59:15Z,513,107,18,2024-04-23T16:59:15Z
DataBiosphere/toil,919,35.8,4859,Replace use of boto with boto3 for `awsProvisioner.py`,https://github.com/DataBiosphere/toil/pull/4859,4859,https://github.com/DataBiosphere/toil/pull/4859,2024-04-19T21:23:33Z,824,586,23,2024-04-19T21:23:33Z
DataBiosphere/toil,919,35.8,4839,Improve exception handling to not output tracebacks,https://github.com/DataBiosphere/toil/pull/4839,4839,https://github.com/DataBiosphere/toil/pull/4839,2024-03-21T16:57:49Z,372,325,13,2024-03-21T16:57:49Z
DataBiosphere/toil,919,35.8,4840,Allow debugging jobs by name (and status improvements),https://github.com/DataBiosphere/toil/pull/4840,4840,https://github.com/DataBiosphere/toil/pull/4840,2024-03-19T23:32:50Z,252,84,6,2024-03-19T23:32:50Z
DataBiosphere/toil,919,35.8,4819,Measure CPU and memory usage in WDL Docker containers,https://github.com/DataBiosphere/toil/pull/4819,4819,https://github.com/DataBiosphere/toil/pull/4819,2024-03-19T23:31:14Z,191,34,5,2024-03-19T23:31:14Z
DataBiosphere/toil,919,35.8,4770,Better stats for WDL workflows,https://github.com/DataBiosphere/toil/pull/4770,4770,https://github.com/DataBiosphere/toil/pull/4770,2024-02-23T04:16:59Z,830,627,20,2024-02-23T04:16:59Z
DataBiosphere/toil,919,35.8,4755,Ship User Logs to Leader,https://github.com/DataBiosphere/toil/pull/4755,4755,https://github.com/DataBiosphere/toil/pull/4755,2024-01-25T16:58:15Z,290,73,14,2024-01-25T16:58:15Z
DataBiosphere/toil,919,35.8,4569,Add config file support,https://github.com/DataBiosphere/toil/pull/4569,4569,https://github.com/DataBiosphere/toil/pull/4569,2023-10-05T14:46:45Z,1055,591,44,2023-10-05T14:46:45Z
DataBiosphere/toil,919,35.8,4742,Fix scheduled CI tests,https://github.com/DataBiosphere/toil/pull/4742,4742,https://github.com/DataBiosphere/toil/pull/4742,2024-01-11T22:15:27Z,629,501,64,2024-01-11T22:15:27Z
DataBiosphere/toil,919,35.8,4709,Fix --printJobInfo,https://github.com/DataBiosphere/toil/pull/4709,4709,https://github.com/DataBiosphere/toil/pull/4709,2024-01-09T23:00:46Z,276,57,15,2024-01-09T23:00:46Z
DataBiosphere/toil,919,35.8,4666,Implement a better config file system for CWL/WDL options,https://github.com/DataBiosphere/toil/pull/4666,4666,https://github.com/DataBiosphere/toil/pull/4666,2023-12-12T19:54:31Z,1614,1977,16,2023-12-12T19:54:31Z
DataBiosphere/toil,919,35.8,4690,Allow working with remote files in CWL and WDL workflows,https://github.com/DataBiosphere/toil/pull/4690,4690,https://github.com/DataBiosphere/toil/pull/4690,2023-12-07T09:44:49Z,1240,772,16,2023-12-07T09:44:49Z
DataBiosphere/toil,919,35.8,4636,CWL Pipefish compatibility,https://github.com/DataBiosphere/toil/pull/4636,4636,https://github.com/DataBiosphere/toil/pull/4636,2023-11-09T22:35:09Z,283,128,37,2023-11-09T22:35:09Z
DataBiosphere/toil,919,35.8,4650,Move TES batch system to a plugin,https://github.com/DataBiosphere/toil/pull/4650,4650,https://github.com/DataBiosphere/toil/pull/4650,2023-11-08T20:00:42Z,126,828,13,2023-11-08T20:00:42Z
DataBiosphere/toil,919,35.8,4590,Reduce the number of assert statements,https://github.com/DataBiosphere/toil/pull/4590,4590,https://github.com/DataBiosphere/toil/pull/4590,2023-09-20T16:59:54Z,243,148,21,2023-09-20T16:59:54Z
DataBiosphere/toil,919,35.8,4571,Fix CI on local Gitlab runners,https://github.com/DataBiosphere/toil/pull/4571,4571,https://github.com/DataBiosphere/toil/pull/4571,2023-08-30T16:37:53Z,159,114,8,2023-08-30T16:37:53Z
DataBiosphere/toil,919,35.8,4557,Stop deleting chained-to jobs which fail as orphaned jobs,https://github.com/DataBiosphere/toil/pull/4557,4557,https://github.com/DataBiosphere/toil/pull/4557,2023-08-10T13:54:30Z,163,75,9,2023-08-10T13:54:30Z
DataBiosphere/toil,919,35.8,4524,Simplify WDL Toil job graphs,https://github.com/DataBiosphere/toil/pull/4524,4524,https://github.com/DataBiosphere/toil/pull/4524,2023-08-02T17:55:59Z,568,182,7,2023-08-02T17:55:59Z
DataBiosphere/toil,919,35.8,4518,Anonymous access to Google Storage,https://github.com/DataBiosphere/toil/pull/4518,4518,https://github.com/DataBiosphere/toil/pull/4518,2023-07-18T11:19:08Z,210,71,13,2023-07-18T11:19:08Z
DataBiosphere/toil,919,35.8,4439,Support HPRC assembly WDLs,https://github.com/DataBiosphere/toil/pull/4439,4439,https://github.com/DataBiosphere/toil/pull/4439,2023-04-24T20:20:09Z,224,90,8,2023-04-24T20:20:09Z
DataBiosphere/toil,919,35.8,4409,Start running some WDL conformance tests,https://github.com/DataBiosphere/toil/pull/4409,4409,https://github.com/DataBiosphere/toil/pull/4409,2023-03-23T20:54:18Z,242,210,6,2023-03-23T20:54:18Z
DataBiosphere/toil,919,35.8,4384,Enable running Giraffe WDL,https://github.com/DataBiosphere/toil/pull/4384,4384,https://github.com/DataBiosphere/toil/pull/4384,2023-03-02T15:17:57Z,1241,283,14,2023-03-02T15:17:57Z
DataBiosphere/toil,919,35.8,4312,Prototype WDL execution with MiniWDL,https://github.com/DataBiosphere/toil/pull/4312,4312,https://github.com/DataBiosphere/toil/pull/4312,2023-02-17T18:08:35Z,1512,175,13,2023-02-17T18:08:35Z
DataBiosphere/toil,919,35.8,4292,Allow determining of which jobs are running via toil status --replayBus,https://github.com/DataBiosphere/toil/pull/4292,4292,https://github.com/DataBiosphere/toil/pull/4292,2022-12-19T20:03:21Z,221,97,12,2022-12-19T20:03:21Z
DataBiosphere/toil,919,35.8,4259,Stop running jobs with full resources to delete themselves,https://github.com/DataBiosphere/toil/pull/4259,4259,https://github.com/DataBiosphere/toil/pull/4259,2022-11-14T22:23:10Z,212,110,6,2022-11-14T22:23:10Z
DataBiosphere/toil,919,35.8,4223,GPU Scheduling Prototype,https://github.com/DataBiosphere/toil/pull/4223,4223,https://github.com/DataBiosphere/toil/pull/4223,2022-10-26T21:27:50Z,1804,606,30,2022-10-26T21:27:50Z
DataBiosphere/toil,919,35.8,4188,Slurm testing,https://github.com/DataBiosphere/toil/pull/4188,4188,https://github.com/DataBiosphere/toil/pull/4188,2022-09-26T19:25:42Z,2290,1,12,2022-09-26T19:25:42Z
DataBiosphere/toil,919,35.8,4191,Make Toil clusters put temporary files in `/var/tmp` by default.,https://github.com/DataBiosphere/toil/pull/4191,4191,https://github.com/DataBiosphere/toil/pull/4191,2022-09-15T02:56:10Z,177,72,16,2022-09-15T02:56:10Z
DataBiosphere/toil,919,35.8,4052,Run CWL conformance tests via WES,https://github.com/DataBiosphere/toil/pull/4052,4052,https://github.com/DataBiosphere/toil/pull/4052,2022-06-22T16:47:05Z,556,14,11,2022-06-22T16:47:05Z
DataBiosphere/toil,919,35.8,4084,Make `toil kill` work when the leader is on another machine,https://github.com/DataBiosphere/toil/pull/4084,4084,https://github.com/DataBiosphere/toil/pull/4084,2022-05-20T20:14:45Z,157,50,9,2022-05-20T20:14:45Z
DataBiosphere/toil,919,35.8,4082,Allow persisting workflow state in WES server across container recreation,https://github.com/DataBiosphere/toil/pull/4082,4082,https://github.com/DataBiosphere/toil/pull/4082,2022-05-11T23:29:20Z,1318,355,13,2022-05-11T23:29:20Z
DataBiosphere/toil,919,35.8,4038,Add CWL tests under ARM,https://github.com/DataBiosphere/toil/pull/4038,4038,https://github.com/DataBiosphere/toil/pull/4038,2022-04-08T20:57:28Z,238,142,5,2022-04-08T20:57:28Z
DataBiosphere/toil,919,35.8,4039,AGC Integration,https://github.com/DataBiosphere/toil/pull/4039,4039,https://github.com/DataBiosphere/toil/pull/4039,2022-03-10T17:13:57Z,933,244,23,2022-03-10T17:13:57Z
DataBiosphere/toil,919,35.8,3956,AWS Batch Batch System,https://github.com/DataBiosphere/toil/pull/3956,3956,https://github.com/DataBiosphere/toil/pull/3956,2022-01-28T16:34:52Z,1191,365,37,2022-01-28T16:34:52Z
