repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
ytdl-org/youtube-dl,138318,64.0,33189,"[YouTube, misc] Back-ports from yt-dlp for broken YT player `2b83d2e0` and later",https://github.com/ytdl-org/youtube-dl/pull/33189,33189,https://github.com/ytdl-org/youtube-dl/pull/33189,2025-09-29T01:15:05Z,213,66,5,2025-09-29T01:15:05Z
ytdl-org/youtube-dl,138318,64.0,33109,"[YouTube] Update extractor for 2025-04, etc",https://github.com/ytdl-org/youtube-dl/pull/33109,33109,https://github.com/ytdl-org/youtube-dl/pull/33109,2025-04-08T00:59:00Z,553,258,11,2025-04-08T00:59:00Z
ytdl-org/youtube-dl,138318,64.0,32987,[YouTube] Fix nsig challenge for player `3bb1f723`,https://github.com/ytdl-org/youtube-dl/pull/32987,32987,https://github.com/ytdl-org/youtube-dl/pull/32987,2024-12-16T12:38:51Z,636,202,5,2024-12-16T12:38:51Z
ytdl-org/youtube-dl,138318,64.0,33082,"[YouTube] Update extractor for 2025-03, etc",https://github.com/ytdl-org/youtube-dl/pull/33082,33082,https://github.com/ytdl-org/youtube-dl/pull/33082,2025-03-11T02:00:24Z,291,61,6,2025-03-11T02:00:24Z
ytdl-org/youtube-dl,138318,64.0,32845,"[JSInterp, YouTube] Support YT player `b22ef6e7` etc",https://github.com/ytdl-org/youtube-dl/pull/32845,32845,https://github.com/ytdl-org/youtube-dl/pull/32845,2024-07-10T23:50:46Z,375,488,5,2024-07-10T23:50:46Z
ytdl-org/youtube-dl,138318,64.0,32802,[ORF] Extractor overhaul,https://github.com/ytdl-org/youtube-dl/pull/32802,32802,https://github.com/ytdl-org/youtube-dl/pull/32802,2024-06-11T11:52:14Z,690,533,5,2024-06-11T11:52:14Z
ytdl-org/youtube-dl,138318,64.0,30329,[Niconico] Back-port extractor and add new search extractors from yt-dlp,https://github.com/ytdl-org/youtube-dl/pull/30329,30329,https://github.com/ytdl-org/youtube-dl/pull/30329,2022-02-05T02:47:21Z,590,198,6,2022-02-05T02:47:21Z
ytdl-org/youtube-dl,138318,64.0,31043,[YouTube] Revive age-gate bypass,https://github.com/ytdl-org/youtube-dl/pull/31043,31043,https://github.com/ytdl-org/youtube-dl/pull/31043,2023-02-09T11:01:58Z,459,211,7,2023-02-09T11:01:58Z
ytdl-org/youtube-dl,138318,64.0,32741,[external/FFmpegFD] Fix ffmpeg detection with `--ffmpeg-location ...` (etc),https://github.com/ytdl-org/youtube-dl/pull/32741,32741,https://github.com/ytdl-org/youtube-dl/pull/32741,2024-03-27T13:11:18Z,139,101,5,2024-03-27T13:11:18Z
ytdl-org/youtube-dl,138318,64.0,32725,[XFileShare] Update for 2024 with new InfoExtractor features ,https://github.com/ytdl-org/youtube-dl/pull/32725,32725,https://github.com/ytdl-org/youtube-dl/pull/32725,2024-03-08T13:03:43Z,276,182,6,2024-03-08T13:03:43Z
ytdl-org/youtube-dl,138318,64.0,32710,"[Vbox7,DASH] Fix and improve extraction with DASH manifests using range and base URL",https://github.com/ytdl-org/youtube-dl/pull/32710,32710,https://github.com/ytdl-org/youtube-dl/pull/32710,2024-02-02T12:36:05Z,1005,209,7,2024-02-02T12:36:05Z
ytdl-org/youtube-dl,138318,64.0,32138,"[GlobalPlayer,Whyp,DLF, Clipchamp] Add new extractors back-ported from yt-dlp",https://github.com/ytdl-org/youtube-dl/pull/32138,32138,https://github.com/ytdl-org/youtube-dl/pull/32138,2023-07-19T21:14:50Z,1097,95,10,2023-07-19T21:14:50Z
ytdl-org/youtube-dl,138318,64.0,31170,"[jsinterp] Overhaul JSInterp to handle new YT players 4c3f79c5, 324f67b9",https://github.com/ytdl-org/youtube-dl/pull/31170,31170,https://github.com/ytdl-org/youtube-dl/pull/31170,2022-08-14T17:45:46Z,504,251,6,2022-08-14T17:45:46Z
ytdl-org/youtube-dl,138318,64.0,4973,[YoutubeDL] Use a progress hook for progress reporting,https://github.com/ytdl-org/youtube-dl/pull/4973,4973,https://github.com/ytdl-org/youtube-dl/pull/4973,2015-02-17T23:20:52Z,129,81,5,2015-02-17T23:20:52Z
ytdl-org/youtube-dl,138318,64.0,342,Re-organized code and a lot of other stuff.,https://github.com/ytdl-org/youtube-dl/pull/342,342,https://github.com/ytdl-org/youtube-dl/pull/342,2012-05-22T11:36:00Z,4262,4249,15,2012-05-22T11:36:00Z
