repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
yt-dlp/yt-dlp,130185,56.11,13821,Deprecation of various options,https://github.com/yt-dlp/yt-dlp/pull/13821,13821,https://github.com/yt-dlp/yt-dlp/pull/13821,2025-09-21T15:10:37Z,83,487,14,2025-09-21T15:10:37Z
yt-dlp/yt-dlp,130185,56.11,14305,[cleanup] Remove broken extractors,https://github.com/yt-dlp/yt-dlp/pull/14305,14305,https://github.com/yt-dlp/yt-dlp/pull/14305,2025-09-12T08:15:41Z,47,993,9,2025-09-12T08:15:41Z
yt-dlp/yt-dlp,130185,56.11,14257,Clarify license of executables,https://github.com/yt-dlp/yt-dlp/pull/14257,14257,https://github.com/yt-dlp/yt-dlp/pull/14257,2025-09-06T23:17:02Z,4765,7,5,2025-09-06T23:17:02Z
yt-dlp/yt-dlp,130185,56.11,13997,"Discontinue `linux_armv7l_exe`, use manylinux build strategy",https://github.com/yt-dlp/yt-dlp/pull/13997,13997,https://github.com/yt-dlp/yt-dlp/pull/13997,2025-09-05T22:38:20Z,1201,422,20,2025-09-05T22:38:20Z
yt-dlp/yt-dlp,130185,56.11,14052,[ie/mtv] Overhaul extractors,https://github.com/yt-dlp/yt-dlp/pull/14052,14052,https://github.com/yt-dlp/yt-dlp/pull/14052,2025-08-19T20:46:11Z,639,1253,11,2025-08-19T20:46:11Z
yt-dlp/yt-dlp,130185,56.11,11652,[networking] Add `keep_header_casing` extension,https://github.com/yt-dlp/yt-dlp/pull/11652,11652,https://github.com/yt-dlp/yt-dlp/pull/11652,2025-03-02T23:10:01Z,229,40,9,2025-03-02T23:10:01Z
yt-dlp/yt-dlp,130185,56.11,10012,Backports from youtube-dl (2024-05),https://github.com/yt-dlp/yt-dlp/pull/10012,10012,https://github.com/yt-dlp/yt-dlp/pull/10012,2024-05-26T21:09:53Z,588,45,6,2024-05-26T21:09:53Z
yt-dlp/yt-dlp,130185,56.11,9911,[cleanup] Remove questionable extractors,https://github.com/yt-dlp/yt-dlp/pull/9911,9911,https://github.com/yt-dlp/yt-dlp/pull/9911,2024-05-12T20:12:12Z,14,651,9,2024-05-12T20:12:12Z
yt-dlp/yt-dlp,130185,56.11,8836,Backports from youtube-dl (2023-12),https://github.com/yt-dlp/yt-dlp/pull/8836,8836,https://github.com/yt-dlp/yt-dlp/pull/8836,2023-12-26T00:40:25Z,519,114,5,2023-12-26T00:40:25Z
yt-dlp/yt-dlp,130185,56.11,8604,[cleanup] Remove dead extractors,https://github.com/yt-dlp/yt-dlp/pull/8604,8604,https://github.com/yt-dlp/yt-dlp/pull/8604,2023-11-26T03:10:00Z,129,10150,125,2023-11-26T03:10:00Z
yt-dlp/yt-dlp,130185,56.11,7720,[rh:websockets] Migrate websockets to networking framework,https://github.com/yt-dlp/yt-dlp/pull/7720,7720,https://github.com/yt-dlp/yt-dlp/pull/7720,2023-11-20T08:04:04Z,766,147,14,2023-11-20T08:04:04Z
yt-dlp/yt-dlp,130185,56.11,3668,[rh:requests] Add support for `requests`,https://github.com/yt-dlp/yt-dlp/pull/3668,3668,https://github.com/yt-dlp/yt-dlp/pull/3668,2023-10-13T23:33:01Z,619,79,14,2023-10-13T23:33:01Z
yt-dlp/yt-dlp,130185,56.11,5933,[config] fix config loading,https://github.com/yt-dlp/yt-dlp/pull/5933,5933,https://github.com/yt-dlp/yt-dlp/pull/5933,2023-01-06T19:01:01Z,260,67,5,2023-01-06T19:01:01Z
yt-dlp/yt-dlp,130185,56.11,5553,Improve plugin architecture,https://github.com/yt-dlp/yt-dlp/pull/5553,5553,https://github.com/yt-dlp/yt-dlp/pull/5553,2023-01-01T04:29:22Z,455,126,20,2023-01-01T04:29:22Z
yt-dlp/yt-dlp,130185,56.11,13821,Deprecation of various options,https://github.com/yt-dlp/yt-dlp/pull/13821,13821,https://github.com/yt-dlp/yt-dlp/pull/13821,2025-09-21T15:10:37Z,83,487,14,2025-09-21T15:10:37Z
yt-dlp/yt-dlp,130185,56.11,14305,[cleanup] Remove broken extractors,https://github.com/yt-dlp/yt-dlp/pull/14305,14305,https://github.com/yt-dlp/yt-dlp/pull/14305,2025-09-12T08:15:41Z,47,993,9,2025-09-12T08:15:41Z
yt-dlp/yt-dlp,130185,56.11,14257,Clarify license of executables,https://github.com/yt-dlp/yt-dlp/pull/14257,14257,https://github.com/yt-dlp/yt-dlp/pull/14257,2025-09-06T23:17:02Z,4765,7,5,2025-09-06T23:17:02Z
yt-dlp/yt-dlp,130185,56.11,13997,"Discontinue `linux_armv7l_exe`, use manylinux build strategy",https://github.com/yt-dlp/yt-dlp/pull/13997,13997,https://github.com/yt-dlp/yt-dlp/pull/13997,2025-09-05T22:38:20Z,1201,422,20,2025-09-05T22:38:20Z
yt-dlp/yt-dlp,130185,56.11,14052,[ie/mtv] Overhaul extractors,https://github.com/yt-dlp/yt-dlp/pull/14052,14052,https://github.com/yt-dlp/yt-dlp/pull/14052,2025-08-19T20:46:11Z,639,1253,11,2025-08-19T20:46:11Z
yt-dlp/yt-dlp,130185,56.11,11652,[networking] Add `keep_header_casing` extension,https://github.com/yt-dlp/yt-dlp/pull/11652,11652,https://github.com/yt-dlp/yt-dlp/pull/11652,2025-03-02T23:10:01Z,229,40,9,2025-03-02T23:10:01Z
yt-dlp/yt-dlp,130185,56.11,10012,Backports from youtube-dl (2024-05),https://github.com/yt-dlp/yt-dlp/pull/10012,10012,https://github.com/yt-dlp/yt-dlp/pull/10012,2024-05-26T21:09:53Z,588,45,6,2024-05-26T21:09:53Z
yt-dlp/yt-dlp,130185,56.11,9911,[cleanup] Remove questionable extractors,https://github.com/yt-dlp/yt-dlp/pull/9911,9911,https://github.com/yt-dlp/yt-dlp/pull/9911,2024-05-12T20:12:12Z,14,651,9,2024-05-12T20:12:12Z
yt-dlp/yt-dlp,130185,56.11,8836,Backports from youtube-dl (2023-12),https://github.com/yt-dlp/yt-dlp/pull/8836,8836,https://github.com/yt-dlp/yt-dlp/pull/8836,2023-12-26T00:40:25Z,519,114,5,2023-12-26T00:40:25Z
yt-dlp/yt-dlp,130185,56.11,8604,[cleanup] Remove dead extractors,https://github.com/yt-dlp/yt-dlp/pull/8604,8604,https://github.com/yt-dlp/yt-dlp/pull/8604,2023-11-26T03:10:00Z,129,10150,125,2023-11-26T03:10:00Z
yt-dlp/yt-dlp,130185,56.11,7720,[rh:websockets] Migrate websockets to networking framework,https://github.com/yt-dlp/yt-dlp/pull/7720,7720,https://github.com/yt-dlp/yt-dlp/pull/7720,2023-11-20T08:04:04Z,766,147,14,2023-11-20T08:04:04Z
yt-dlp/yt-dlp,130185,56.11,3668,[rh:requests] Add support for `requests`,https://github.com/yt-dlp/yt-dlp/pull/3668,3668,https://github.com/yt-dlp/yt-dlp/pull/3668,2023-10-13T23:33:01Z,619,79,14,2023-10-13T23:33:01Z
yt-dlp/yt-dlp,130185,56.11,5933,[config] fix config loading,https://github.com/yt-dlp/yt-dlp/pull/5933,5933,https://github.com/yt-dlp/yt-dlp/pull/5933,2023-01-06T19:01:01Z,260,67,5,2023-01-06T19:01:01Z
yt-dlp/yt-dlp,130185,56.11,5553,Improve plugin architecture,https://github.com/yt-dlp/yt-dlp/pull/5553,5553,https://github.com/yt-dlp/yt-dlp/pull/5553,2023-01-01T04:29:22Z,455,126,20,2023-01-01T04:29:22Z
