repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,base_sha,clone_command,diff_link,related_issues_in_pr
jlowin/fastmcp,20011,18.65,2254,"Add ""High Value"" Ruff Rules",https://github.com/jlowin/fastmcp/issues/2254,2255,https://github.com/jlowin/fastmcp/pull/2255,2025-10-26T14:20:31Z,340,333,65,716e50dae0b445fb7fd0251725fc827c045d5fdd,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 716e50dae0b445fb7fd0251725fc827c045d5fdd && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2255.diff,1
jlowin/fastmcp,20011,18.65,2048,Add RFC 7662 token introspection provider,https://github.com/jlowin/fastmcp/issues/2048,2074,https://github.com/jlowin/fastmcp/pull/2074,2025-10-16T14:57:06Z,798,13,7,98fb0a611507c50e2947847396fb6c3cd696ef18,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 98fb0a611507c50e2947847396fb6c3cd696ef18 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2074.diff,1
jlowin/fastmcp,20011,18.65,2208,Expose OAuth token management parameters across all providers,https://github.com/jlowin/fastmcp/issues/2208,2222,https://github.com/jlowin/fastmcp/pull/2222,2025-10-23T01:51:37Z,296,0,13,562e51b37823be6e8430f85a5bbddc2d042ff4c9,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 562e51b37823be6e8430f85a5bbddc2d042ff4c9 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2222.diff,1
jlowin/fastmcp,20011,18.65,2097,"Support custom server name, icons, and link in OAuth Proxy consent page",https://github.com/jlowin/fastmcp/issues/2097,2135,https://github.com/jlowin/fastmcp/pull/2135,2025-10-18T15:49:26Z,1000,12,8,6f627b58fdb533638961078bb28c3075cd012106,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 6f627b58fdb533638961078bb28c3075cd012106 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2135.diff,1
jlowin/fastmcp,20011,18.65,2077,Support mounting OAuth-protected servers under path prefixes,https://github.com/jlowin/fastmcp/issues/2077,2119,https://github.com/jlowin/fastmcp/pull/2119,2025-10-17T15:44:49Z,1155,553,39,d4837b41c5139cfcb946fee8f4fb0b644caf6a38,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout d4837b41c5139cfcb946fee8f4fb0b644caf6a38 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2119.diff,1
jlowin/fastmcp,20011,18.65,2012,Switch Lifespan to being a Server Lifespan,https://github.com/jlowin/fastmcp/issues/2012,2013,https://github.com/jlowin/fastmcp/pull/2013,2025-10-14T18:49:53Z,189,61,6,22d929383943120a6c191a0d456ee9d70d26f0a2,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 22d929383943120a6c191a0d456ee9d70d26f0a2 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2013.diff,2
jlowin/fastmcp,20011,18.65,1946,Add Pydantic-compatible input validation,https://github.com/jlowin/fastmcp/issues/1946,2073,https://github.com/jlowin/fastmcp/pull/2073,2025-10-14T18:49:30Z,582,462,9,1ec2bd7d925887578e890cd89b595e42a4fa12ef,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 1ec2bd7d925887578e890cd89b595e42a4fa12ef && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2073.diff,2
jlowin/fastmcp,20011,18.65,2063,Also push client messages (info/warn/debug) to server debug log,https://github.com/jlowin/fastmcp/issues/2063,2063,https://github.com/jlowin/fastmcp/pull/2063,2025-10-14T18:38:26Z,223,43,6,3f223a6e291ac8c254767639912e01e72fe6a978,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 3f223a6e291ac8c254767639912e01e72fe6a978 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2063.diff,1
jlowin/fastmcp,20011,18.65,2032,Refactor mounting logic from managers to server,https://github.com/jlowin/fastmcp/issues/2032,2069,https://github.com/jlowin/fastmcp/pull/2069,2025-10-11T22:28:21Z,840,525,16,7b7e277d5ddcf1dd0c1dbf3eaa3461c1ca077efe,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 7b7e277d5ddcf1dd0c1dbf3eaa3461c1ca077efe && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/2069.diff,2
jlowin/fastmcp,20011,18.65,1926,Add Scalekit Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/issues/1926,1927,https://github.com/jlowin/fastmcp/pull/1927,2025-09-26T20:58:04Z,674,0,7,5a2988b3c2ee3aa6432ab20572dd86a157b537de,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 5a2988b3c2ee3aa6432ab20572dd86a157b537de && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1927.diff,1
