repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,base_sha,clone_command,diff_link,related_issues_in_pr
yt-dlp/yt-dlp,132656,56.44,13858,Remove Python 3.9 support,https://github.com/yt-dlp/yt-dlp/issues/13858,13861,https://github.com/yt-dlp/yt-dlp/pull/13861,2025-10-15T10:25:21Z,85,191,42,264044286dc30a3dcbe48134f6bebda90b3e43a2,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 264044286dc30a3dcbe48134f6bebda90b3e43a2 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/13861.diff,1
yt-dlp/yt-dlp,132656,56.44,14198,Deprecation of various options,https://github.com/yt-dlp/yt-dlp/issues/14198,13821,https://github.com/yt-dlp/yt-dlp/pull/13821,2025-09-21T15:10:37Z,83,487,14,98b6b0d339130e955f9d45ce67c0357c633c1627,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 98b6b0d339130e955f9d45ce67c0357c633c1627 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/13821.diff,2
yt-dlp/yt-dlp,132656,56.44,1466,[cleanup] Remove broken extractors,https://github.com/yt-dlp/yt-dlp/issues/1466,14305,https://github.com/yt-dlp/yt-dlp/pull/14305,2025-09-12T08:15:41Z,47,993,9,17bfaa53edf5c52fce73cf0cef4592f929c2462d,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 17bfaa53edf5c52fce73cf0cef4592f929c2462d && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/14305.diff,6
yt-dlp/yt-dlp,132656,56.44,348,Clarify license of executables,https://github.com/yt-dlp/yt-dlp/issues/348,14257,https://github.com/yt-dlp/yt-dlp/pull/14257,2025-09-06T23:17:02Z,4765,7,5,7c9b10ebc83907d37f9f65ea9d4bd6f5e3bd1371,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 7c9b10ebc83907d37f9f65ea9d4bd6f5e3bd1371 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/14257.diff,1
yt-dlp/yt-dlp,132656,56.44,10072,"Discontinue `linux_armv7l_exe`, use manylinux build strategy",https://github.com/yt-dlp/yt-dlp/issues/10072,13997,https://github.com/yt-dlp/yt-dlp/pull/13997,2025-09-05T22:38:20Z,1201,422,20,ed24640943872c4cf30d7cc4601bec87b50ba03c,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout ed24640943872c4cf30d7cc4601bec87b50ba03c && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/13997.diff,6
yt-dlp/yt-dlp,132656,56.44,169,[ie/mtv] Overhaul extractors,https://github.com/yt-dlp/yt-dlp/issues/169,14052,https://github.com/yt-dlp/yt-dlp/pull/14052,2025-08-19T20:46:11Z,639,1253,11,404bd889d0e0b62ad72b7281e3fefdc0497080b3,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 404bd889d0e0b62ad72b7281e3fefdc0497080b3 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/14052.diff,17
yt-dlp/yt-dlp,132656,56.44,11638,[networking] Add `keep_header_casing` extension,https://github.com/yt-dlp/yt-dlp/issues/11638,11652,https://github.com/yt-dlp/yt-dlp/pull/11652,2025-03-02T23:10:01Z,229,40,9,4b5eec0aaa7c02627f27a386591b735b90e681a8,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout 4b5eec0aaa7c02627f27a386591b735b90e681a8 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/11652.diff,2
yt-dlp/yt-dlp,132656,56.44,9188,Backports from youtube-dl (2024-05),https://github.com/yt-dlp/yt-dlp/issues/9188,10012,https://github.com/yt-dlp/yt-dlp/pull/10012,2024-05-26T21:09:53Z,588,45,6,e897bd8292a41999cf51dba91b390db5643c72db,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout e897bd8292a41999cf51dba91b390db5643c72db && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/10012.diff,2
yt-dlp/yt-dlp,132656,56.44,6279,[cleanup] Remove questionable extractors,https://github.com/yt-dlp/yt-dlp/issues/6279,9911,https://github.com/yt-dlp/yt-dlp/pull/9911,2024-05-12T20:12:12Z,14,651,9,cf212d0a331aba05c32117573f760cdf3af8c62f,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout cf212d0a331aba05c32117573f760cdf3af8c62f && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/9911.diff,2
yt-dlp/yt-dlp,132656,56.44,2598,Backports from youtube-dl (2023-12),https://github.com/yt-dlp/yt-dlp/issues/2598,8836,https://github.com/yt-dlp/yt-dlp/pull/8836,2023-12-26T00:40:25Z,519,114,5,c39358a54bc6675ae0c50b81024e5a086e41656a,git clone https://github.com/yt-dlp/yt-dlp.git && cd yt-dlp && git checkout c39358a54bc6675ae0c50b81024e5a086e41656a && rm -rf .git && git init && gaa && revelo_commit 'Raw repository' && cd .. && gemini,https://patch-diff.githubusercontent.com/raw/yt-dlp/yt-dlp/pull/8836.diff,2
